Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
vanilla,Light,1,99.70,0.00,0.01,true
vanilla,Light,2,74.80,0.00,0.01,true
vanilla,Light,3,77.40,0.00,0.01,true
vanilla,Light,4,85.70,0.00,0.01,true
vanilla,Light,5,102.30,0.00,0.01,true
vanilla,Light,6,91.40,0.00,0.01,true
vanilla,Light,7,92.80,0.00,0.01,true
vanilla,Light,8,93.10,0.00,0.01,true
vanilla,Light,9,66.00,0.00,0.01,true
vanilla,Light,10,92.20,0.00,0.01,true
vanilla,Light,11,77.20,0.00,0.01,true
vanilla,Light,12,89.00,0.00,0.01,true
vanilla,Light,13,88.70,0.00,0.01,true
vanilla,Light,14,85.40,0.00,0.01,true
vanilla,Light,15,87.60,0.00,0.01,true
vanilla,Light,16,77.10,0.00,0.01,true
vanilla,Light,17,92.00,0.00,0.01,true
vanilla,Light,18,92.10,0.00,0.01,true
vanilla,Light,19,87.40,0.00,0.01,true
vanilla,Light,20,89.60,0.00,0.01,true
vanilla,Light,21,102.50,0.00,0.01,true
vanilla,Light,22,72.60,0.00,0.01,true
vanilla,Light,23,85.40,0.00,0.01,true
vanilla,Light,24,98.80,0.00,0.01,true
vanilla,Light,25,88.40,0.00,0.01,true
vanilla,Light,26,83.30,0.00,0.01,true
vanilla,Light,27,92.10,0.00,0.01,true
vanilla,Light,28,94.10,0.00,0.01,true
vanilla,Light,29,83.90,0.00,0.01,true
vanilla,Light,30,77.90,0.00,0.01,true
vanilla,Medium,1,243.70,0.00,1.85,true
vanilla,Medium,2,107.40,0.00,1.85,true
vanilla,Medium,3,98.00,0.00,1.85,true
vanilla,Medium,4,99.20,0.00,1.85,true
vanilla,Medium,5,111.00,0.00,1.85,true
vanilla,Medium,6,101.90,0.00,1.85,true
vanilla,Medium,7,106.70,0.00,1.85,true
vanilla,Medium,8,92.90,0.00,1.85,true
vanilla,Medium,9,105.30,0.00,1.85,true
vanilla,Medium,10,107.40,0.00,1.65,true
vanilla,Medium,11,98.50,0.00,1.85,true
vanilla,Medium,12,95.70,0.00,1.65,true
vanilla,Medium,13,117.30,0.00,1.85,true
vanilla,Medium,14,109.50,0.00,1.85,true
vanilla,Medium,15,115.50,0.00,1.85,true
