Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
vanilla,Light,1,113.00,113.00,0.01,true
vanilla,Light,2,101.20,0.00,0.01,true
vanilla,Light,3,95.00,0.00,0.01,true
vanilla,Light,4,95.90,0.00,0.01,true
vanilla,Light,5,107.00,0.00,0.01,true
vanilla,Light,6,101.50,0.00,0.01,true
vanilla,Light,7,96.20,0.00,0.01,true
vanilla,Light,8,106.60,0.00,0.01,true
vanilla,Light,9,103.90,0.00,0.01,true
vanilla,Light,10,196.00,0.00,0.01,false
vanilla,Light,11,132.00,132.00,0.01,false
vanilla,Light,12,111.10,0.00,0.01,true
vanilla,Light,13,109.30,0.00,0.01,true
vanilla,Light,14,107.50,0.00,0.01,true
vanilla,Light,15,107.50,0.00,0.01,true
vanilla,Light,16,99.60,0.00,0.01,true
vanilla,Light,17,111.10,0.00,0.01,true
vanilla,Light,18,97.00,0.00,0.01,true
vanilla,Light,19,130.40,0.00,0.01,true
vanilla,Light,20,144.90,0.00,0.01,true
vanilla,Light,21,100.70,0.00,0.01,true
vanilla,Light,22,110.00,0.00,0.01,true
vanilla,Light,23,112.90,0.00,0.01,true
vanilla,Light,24,106.50,0.00,0.01,true
vanilla,Light,25,105.70,0.00,0.01,true
vanilla,Light,26,106.90,0.00,0.01,true
vanilla,Light,27,105.90,0.00,0.01,true
vanilla,Light,28,145.30,0.00,0.01,true
vanilla,Light,29,126.70,0.00,0.01,true
vanilla,Light,30,108.00,0.00,0.01,true
vanilla,Medium,1,124.80,0.00,1.85,true
vanilla,Medium,2,110.20,0.00,1.85,true
vanilla,Medium,3,106.70,0.00,1.85,true
vanilla,Medium,4,113.80,0.00,1.85,true
vanilla,Medium,5,114.50,0.00,1.85,true
vanilla,Medium,6,128.60,0.00,1.85,true
vanilla,Medium,7,107.10,0.00,1.85,true
vanilla,Medium,8,113.80,0.00,1.85,true
vanilla,Medium,9,108.80,0.00,1.23,true
vanilla,Medium,10,171.20,0.00,1.65,true
vanilla,Medium,11,111.80,0.00,1.85,true
vanilla,Medium,12,109.50,0.00,1.23,true
vanilla,Medium,13,112.40,0.00,1.85,true
vanilla,Medium,14,101.70,0.00,1.85,true
vanilla,Medium,15,116.00,0.00,1.85,true
vanilla,Medium,16,147.30,0.00,1.85,true
vanilla,Medium,17,143.40,0.00,1.85,true
vanilla,Medium,18,126.00,0.00,1.85,true
vanilla,Medium,19,120.90,0.00,1.85,true
vanilla,Medium,20,126.90,0.00,1.85,true
vanilla,Medium,21,97.40,0.00,1.85,true
vanilla,Medium,22,107.90,0.00,1.03,true
vanilla,Medium,23,106.50,0.00,1.44,true
vanilla,Medium,24,112.20,0.00,1.44,true
vanilla,Medium,25,111.50,0.00,1.65,true
vanilla,Medium,26,121.10,0.00,1.44,true
vanilla,Medium,27,116.80,0.00,1.85,true
vanilla,Medium,28,103.00,0.00,1.85,true
vanilla,Medium,29,108.20,0.00,1.85,true
vanilla,Medium,30,108.00,0.00,1.85,true
vanilla,Heavy,1,0.00,0.00,0.00,true
vanilla,Heavy,2,3957.50,0.00,2.40,true
vanilla,Heavy,3,0.00,0.00,0.00,true
vanilla,Heavy,4,0.00,0.00,0.00,true
vanilla,Heavy,5,3623.70,0.00,2.40,true
vanilla,Heavy,6,3666.70,0.00,2.40,true
vanilla,Heavy,7,0.00,0.00,0.00,true
vanilla,Heavy,8,4586.00,0.00,2.40,true
vanilla,Heavy,9,4175.70,0.00,2.40,true
vanilla,Heavy,10,3914.90,0.00,2.40,true
vanilla,Heavy,11,2935.90,0.00,2.40,true
vanilla,Heavy,12,0.00,0.00,0.00,true
vanilla,Heavy,13,3395.40,0.00,2.40,true
vanilla,Heavy,14,4965.70,0.00,2.40,true
vanilla,Heavy,15,2834.00,0.00,2.40,true
vanilla,Heavy,16,1753.00,0.00,2.40,true
vanilla,Heavy,17,4455.30,0.00,2.40,true
vanilla,Heavy,18,0.00,0.00,0.00,true
vanilla,Heavy,19,4338.50,0.00,2.40,true
vanilla,Heavy,20,3829.30,0.00,2.40,true
vanilla,Heavy,21,3556.40,0.00,2.40,true
vanilla,Heavy,22,3835.90,0.00,2.40,true
vanilla,Heavy,23,3718.20,0.00,2.40,true
vanilla,Heavy,24,4935.90,0.00,2.40,true
vanilla,Heavy,25,0.00,0.00,0.00,true
vanilla,Heavy,26,4713.30,0.00,2.40,true
