Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
Fast 4G,Light,27,113.10,0.00,0.00,true
Fast 4G,Light,28,89.20,0.00,0.00,true
Fast 4G,Light,29,92.70,0.00,0.00,true
Fast 4G,Light,30,98.90,0.00,0.00,true
Fast 4G,Medium,1,104.00,0.00,0.00,true
Fast 4G,Medium,2,135.30,0.00,0.00,true
Fast 4G,Medium,3,97.80,0.00,0.00,true
Fast 4G,Medium,4,110.50,0.00,0.00,true
Fast 4G,Medium,5,108.20,0.00,0.00,true
Fast 4G,Medium,6,111.30,0.00,0.00,true
Fast 4G,Medium,7,107.60,0.00,0.00,true
Fast 4G,Medium,8,104.40,0.00,0.00,true
Fast 4G,Medium,9,107.90,0.00,0.00,true
Fast 4G,Medium,10,111.90,0.00,0.00,true
Fast 4G,Medium,11,109.30,0.00,0.00,true
Fast 4G,Medium,12,120.30,0.00,0.00,true
Fast 4G,Medium,13,111.60,0.00,0.00,true
Fast 4G,Medium,14,105.80,0.00,0.00,true
Fast 4G,Medium,15,111.40,0.00,0.00,true
Fast 4G,Medium,16,143.40,0.00,0.00,true
Fast 4G,Medium,17,108.00,0.00,0.00,true
Fast 4G,Medium,18,110.20,0.00,0.00,true
Fast 4G,Medium,19,119.90,0.00,0.00,true
Fast 4G,Medium,20,117.00,0.00,0.00,true
Fast 4G,Medium,21,106.60,0.00,0.00,true
Fast 4G,Medium,22,103.00,0.00,0.00,true
Fast 4G,Medium,23,113.40,0.00,0.00,true
Fast 4G,Medium,24,105.70,0.00,0.00,true
Fast 4G,Medium,25,105.20,0.00,0.00,true
Fast 4G,Medium,26,108.80,0.00,0.00,true
Fast 4G,Medium,27,114.40,0.00,0.00,true
Fast 4G,Medium,28,112.00,0.00,0.00,false
Fast 4G,Medium,29,105.30,0.00,0.00,true
Fast 4G,Medium,30,110.30,0.00,0.00,true
Fast 4G,Heavy,1,158.60,0.00,0.00,true
Fast 4G,Heavy,2,150.20,0.00,0.00,true
Fast 4G,Heavy,3,160.20,0.00,0.00,true
Fast 4G,Heavy,4,144.90,0.00,0.00,true
Fast 4G,Heavy,5,153.60,0.00,0.00,true
Fast 4G,Heavy,6,158.70,0.00,0.00,true
Fast 4G,Heavy,7,161.20,0.00,0.00,true
Fast 4G,Heavy,8,139.90,0.00,0.00,true
Fast 4G,Heavy,9,161.20,0.00,0.00,true
Fast 4G,Heavy,10,144.90,0.00,0.00,true
Fast 4G,Heavy,11,143.30,0.00,0.00,true
Fast 4G,Heavy,12,139.40,0.00,0.00,true
Fast 4G,Heavy,13,161.10,0.00,0.00,true
Fast 4G,Heavy,14,141.40,0.00,0.00,true
Fast 4G,Heavy,15,157.30,0.00,0.00,true
Fast 4G,Heavy,16,139.40,0.00,0.00,true
Fast 4G,Heavy,17,188.40,0.00,0.00,true
Fast 4G,Heavy,18,145.20,0.00,0.00,true
Fast 4G,Heavy,19,163.00,0.00,0.00,true
Fast 4G,Heavy,20,159.90,0.00,0.00,true
Fast 4G,Heavy,21,158.30,0.00,0.00,true
Fast 4G,Heavy,22,155.90,0.00,0.00,true
Fast 4G,Heavy,23,233.90,0.00,0.00,true
Fast 4G,Heavy,24,173.50,0.00,0.00,true
Fast 4G,Heavy,25,172.80,0.00,0.00,true
Fast 4G,Heavy,26,154.70,0.00,0.00,true
Fast 4G,Heavy,27,157.90,0.00,0.00,true
Fast 4G,Heavy,28,152.70,0.00,0.00,true
Fast 4G,Heavy,29,178.80,0.00,0.00,true
Fast 4G,Heavy,30,135.80,0.00,0.00,true
Regular 4G,Light,1,135.40,0.00,0.00,true
Regular 4G,Light,2,106.70,0.00,0.00,true
Regular 4G,Light,3,128.10,0.00,0.00,true
Regular 4G,Light,4,177.60,0.00,0.00,true
Regular 4G,Light,5,93.40,0.00,0.00,true
Regular 4G,Light,6,109.70,0.00,0.00,true
Regular 4G,Light,7,112.10,0.00,0.00,true
Regular 4G,Light,8,89.70,0.00,0.00,true
Regular 4G,Light,9,89.50,0.00,0.00,true
Regular 4G,Light,10,95.50,0.00,0.00,true
Regular 4G,Light,11,90.90,0.00,0.00,true
